,Profil,Czas,Kurs,Zmiana,Zmiana %,Odn.,Otw.,Min.,Max.,Wolumen,Obrót,Udział,1r 3m
0,ALR (ALIOR),10 maj 17:00,52.25,0.0,(0.00%),52.25,52.25,52.1,53.1,378 611,19 869 938,2.237%,
1,CCC,10 maj 17:03,187.5,0.5,(+0.27%),187.0,190.0,185.8,191.7,56 933,10 706 216,2.538%,
2,CDR (CDPROJEKT),10 maj 17:03,212.1,-2.2,(-1.03%),214.3,215.7,211.3,216.0,148 390,31 638 024,6.879%,
3,CPS (CYFRPLSAT),10 maj 17:00,25.84,-0.16,(-0.62%),26.0,26.12,25.62,26.24,196 240,5 071 593,3.395%,
4,DNP (DINOPL),10 maj 17:00,127.3,3.8,(+3.08%),123.5,126.0,124.1,128.4,174 798,22 174 106,2.939%,
5,JSW,10 maj 17:04,50.0,2.8,(+5.93%),47.2,48.0,48.0,51.0,338 043,16 704 412,1.267%,
6,KGH (KGHM),10 maj 17:03,95.64,3.0,(+3.24%),92.64,92.88,92.88,95.84,516 608,48 700 660,6.283%,
7,LPP,10 maj 17:00,7850.0,-55.0,(-0.70%),7905.0,7905.0,7790.0,8050.0,1 017,8 002 780,4.937%,
8,LTS (LOTOS),10 maj 17:00,73.98,-0.56,(-0.75%),74.54,74.92,73.8,75.62,340 337,25 374 808,3.083%,
9,MBK (MBANK),10 maj 17:00,407.4,-2.6,(-0.63%),410.0,410.0,407.4,420.8,13 319,5 458 426,2.548%,
10,OPL (ORANGEPL),10 maj 17:01,4.672,0.004,(+0.09%),4.668,4.766,4.632,4.766,1 000 306,4 673 115,1.457%,
11,PEO (PEKAO),10 maj 17:03,106.45,1.75,(+1.67%),104.7,105.75,105.2,107.2,524 753,55 760 220,8.2%,
12,PGE,10 maj 17:00,8.75,0.05,(+0.57%),8.7,8.85,8.624,8.95,1 668 750,14 600 439,3.358%,
13,PGN (PGNIG),10 maj 17:03,5.645,0.135,(+2.45%),5.51,5.53,5.465,5.725,9 311 632,51 690 352,4.417%,
14,PKN (PKNORLEN),10 maj 17:00,87.78,0.1,(+0.11%),87.68,88.5,87.06,89.22,656 319,57 843 412,12.22%,
15,PKO (PKOBP),10 maj 17:03,37.73,0.46,(+1.23%),37.27,37.64,37.52,38.12,2 444 135,92 526 368,15.253%,
16,PLY (PLAY),10 maj 17:04,24.28,0.16,(+0.66%),24.12,24.18,24.12,24.5,232 780,5 658 624,1.281%,
17,PZU,10 maj 17:00,40.01,-0.32,(-0.79%),40.33,40.53,40.0,41.11,830 695,33 539 694,10.951%,
18,SPL (SANPL),10 maj 17:00,368.8,-1.2,(-0.32%),370.0,374.0,368.2,381.8,48 244,17 890 548,5.898%,
19,TPE (TAURONPE),10 maj 17:01,1.709,0.024,(+1.42%),1.685,1.714,1.686,1.72,3 783 126,6 431 593,0.859%,
